                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.72053,                0.42452,                0.89122,                0.78297,                 0.3433,                0.91148,                0.95097,                0.96986,                 0.9891,                0.82512,                0.65304,                0.34429,                0.88515,                0.68232,                0.27651,                0.88644,              0.0008516,              0.0008516,              0.0008516
                     61,                0.67459,                0.39421,                0.86981,                0.73949,                0.29402,                0.88819,                0.98135,                0.98333,                 0.9931,                0.81392,                0.66626,                0.35244,                 0.8675,                 0.7194,                0.25453,                0.88595,              0.0008318,              0.0008318,              0.0008318
                     62,                0.67873,                0.39495,                0.86685,                0.73269,                0.29647,                0.88636,                0.93596,                0.98333,                0.99094,                0.82486,                 0.6839,                0.34583,                0.87078,                0.71834,                0.27459,                 0.8868,               0.000812,               0.000812,               0.000812
                     63,                0.67965,                0.39459,                0.88366,                0.75413,                0.28635,                0.90796,                0.97702,                   0.95,                0.98868,                0.81623,                0.67663,                0.32779,                0.88731,                0.70611,                0.26684,                0.88708,              0.0007922,              0.0007922,              0.0007922
                     64,                0.67392,                0.38902,                0.86878,                0.74416,                0.29298,                0.89219,                0.99104,                0.92221,                0.98928,                0.79986,                0.73853,                0.36987,                0.88164,                0.74857,                0.31331,                0.88882,              0.0007724,              0.0007724,              0.0007724
                     65,                0.65771,                0.39139,                  0.874,                0.70882,                0.28803,                 0.8929,                0.99122,                  0.941,                0.99117,                0.81282,                0.70389,                0.35146,                0.88035,                0.72146,                 0.2778,                0.88447,              0.0007526,              0.0007526,              0.0007526
                     66,                0.67825,                0.38426,                0.88096,                0.72446,                0.27407,                0.90157,                0.95066,                0.96345,                0.98909,                0.81007,                 0.6997,                0.35131,                0.88018,                0.72599,                0.28266,                0.88755,              0.0007328,              0.0007328,              0.0007328
                     67,                0.71058,                0.40055,                0.88804,                0.76107,                0.31293,                0.91202,                0.97455,                0.95747,                0.98924,                0.80599,                0.67676,                0.34903,                0.88289,                0.72111,                0.27012,                0.89291,               0.000713,               0.000713,               0.000713
                     68,                0.67323,                0.38268,                0.86824,                0.72439,                0.27434,                0.88339,                0.96418,                  0.975,                0.99129,                 0.8259,                0.70258,                0.34879,                0.86749,                 0.7027,                0.27825,                0.86234,              0.0006932,              0.0006932,              0.0006932
                     69,                0.66905,                0.39748,                0.88082,                0.71582,                0.30822,                0.90557,                0.96101,                0.96667,                0.98998,                0.82148,                0.68851,                0.35266,                0.87854,                0.69947,                0.25876,                0.86568,              0.0006734,              0.0006734,              0.0006734
